labels,lf,snr
G,8.056344685361,0.693851771522975
G,2.31477808020018,0.856185499620215
G,3.03583027875495,0.665045907082247
G,1.77461314542591,0.763299556857743
G,3.0997593171922,0.819912430272254
G,2.85651989850485,0.798794312404166
G,3.34341400331638,0.771287755533545
G,2.89036117986826,0.686863869036996
G,4.17759106661836,0.717414881447377
G,2.04012253233135,0.7525780368703
G,4.20526864392661,0.697751262405116
G,3.33899587952863,0.767151399997948
G,3.40837654377449,0.712954893324535
G,5.00478510856949,0.720519785423383
G,1.6760149748557,0.761060283432677
G,3.54675797957461,0.726870776170141
G,4.3555465971984,0.709818637384611
G,0.85013638627172,0.70287317414352
G,2.77443611314958,0.759992698937671
G,2.32797648713691,0.721665548771169
G,1.87060657391668,0.65962014307731
G,3.56505057996899,0.721052049344724
G,1.31837947103297,0.614592500682626
G,1.61828804723507,0.701077385875924
G,6.28230603869207,0.720911305205426
G,2.75101171733005,0.649025662538045
G,4.75706079852723,0.637978359046513
G,5.05400675136628,0.63198299368521
G,5.28845175882535,0.655916460051418
G,4.00202138867504,0.717338201777494
G,2.72208037378333,0.665306342965028
G,2.21687196512003,0.631450657367122
G,0.924298594338874,0.630880594039184
G,3.22097768186045,0.630388561874338
G,1.82298648524068,0.679024516750296
G,2.90106727851252,0.650681920519999
G,1.91113136540286,0.625819420758799
G,3.83124640978748,0.627393944361268
G,5.8358811755603,0.678647590192906
G,2.54220323222296,0.649736933194924
G,1.42943030441198,0.635257902324302
G,2.63504384391158,0.62535272825917
G,3.23429157428988,0.618280920611222
G,3.75009898659107,0.679290425217095
G,1.69477837614916,0.689329262626977
G,2.33972492815041,0.662002363103988
G,2.70707625711374,0.659804907927336
G,3.9965208490422,0.612738310104716
G,0.954372896276275,0.746586531910343
G,4.04023092326809,0.979505781566214
G,5.77112495060715,0.913394813277525
G,3.33724690877142,0.914426448828635
G,4.52441164573679,1.29242025037063
G,1.90186814873822,0.842777842255247
G,3.08172741315126,0.923635907053694
G,5.99319496348292,0.937051196385257
G,5.30790792423417,1.06707855071933
G,3.90510968221838,1.16497053700494
G,4.51622066379731,1.09742225088171
G,3.66025299339264,1.4704037438987
G,5.75574256332009,2.38073358076358
G,6.01947423975106,2.26710429590467
G,6.67595876676242,2.12681992396476
G,2.01181833090385,2.02043202233134
G,6.31934992478099,1.93430897182101
G,5.56956634035966,1.97400939916414
G,4.70005955326184,2.0826205695385
G,3.40528591997932,2.14263981552508
G,1.47265901705307,1.88263329040895
G,4.08020997561725,1.80453134876517
G,3.01842864080406,1.71749354162061
G,3.85443298416345,1.79802024291816
G,6.54271989633332,1.93780165664752
G,9.08946402233091,2.13748958342342
G,6.97004451232364,1.99946067484377
G,5.48576688758386,1.76760801704071
G,5.24576535067595,1.85075583252024
G,2.38278622670489,1.9464217050643
G,5.23034416447306,2.08966556120862
G,8.71707075874991,1.9648131149839
G,10.5965285527679,2.49690082793316
G,11.3650325459253,3.32981467328799
G,3.58739126616848,3.49427914839443
G,6.45771995778069,3.30658647280795
G,6.27664043389858,3.49233671904327
G,2.42516030464758,3.32304955484291
G,6.63133487030978,3.4698209922631
G,5.22856026456674,3.36384204204957
G,5.13621921421238,3.04825712965553
G,7.56047400372308,3.23555402049605
G,7.16111338895935,3.03448155804253
G,6.79043306778818,3.05882394443228
G,5.86959890343801,3.02540713913802
G,7.9321478640055,3.24500298601519
G,2.15414158001099,1.14446372212403
G,1.53529200812688,1.0461016269165
G,1.97986784289037,1.04652579306465
G,2.26353830731236,1.05983744886203
G,2.19290702422203,1.01634238205797
G,0.991460936933295,1.12124877881454
G,2.02872310207912,1.0347394909157
G,2.68607517604872,1.07186928367684
G,2.35433102048251,1.03602178620455
G,2.96877102223656,1.04924842960496
G,3.92217301087463,1.0616189497731
G,2.94347471600608,1.15897485815107
G,0.278561916490905,1.05750800096417
G,1.89929369134989,1.03753182935283
G,2.56172361137618,1.06876566625605
G,1.71997336521231,1.02859867835114
G,2.61822013924259,1.00205260383504
G,2.61039528204082,1.11174197754462
G,3.17645805797899,1.2253403228599
G,3.33669321712254,1.14605934836047
G,3.10701468385653,1.15198000310176
G,3.34486994245837,1.0215751595256
G,1.09146084032695,1.05303150383466
G,1.81622201227126,1.09522052301907
G,2.01186327951084,0.984989366718854
G,2.96293175585603,1.08398121468299
G,10.4533417095226,2.81346104603556
G,5.01171376577244,3.36991160025074
G,4.97208215224581,3.18684213312243
G,5.57948331522467,3.32147737192301
G,2.85083639682324,3.00253647803104
G,4.16166184477923,2.8877200802907
G,5.27763153330079,2.46574054071968
G,3.78267823308585,2.9492549988114
G,4.17035607416606,2.97574962611143
G,5.8309374153589,3.05273121173058
G,4.24614188626114,3.09275393044129
G,1.99623679282236,3.06075470053264
G,4.85194726357779,2.84155368537771
G,5.42434723346148,3.02069791135856
G,4.3241234224631,3.05473733022995
G,2.02959679283985,2.90925435552823
G,2.5179451804036,2.98815250952645
G,6.13640535389503,3.11483198077998
G,0.401408770990555,2.84526707652201
G,2.04580566885788,2.78586440365794
G,1.94626237301863,2.93085278817264
G,2.16625344354603,2.73956548565095
G,3.47168857887254,2.88849502450543
G,3.25630929969865,2.49282991164746
G,2.69420137850108,2.7305341694015
